2026-07-03 03:30:14,508 | INFO     | dental_pipeline.nnunet_setup | Set env: nnUNet_raw=/usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_raw
2026-07-03 03:30:14,508 | INFO     | dental_pipeline.nnunet_setup | Set env: nnUNet_preprocessed=/usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_preprocessed
2026-07-03 03:30:14,508 | INFO     | dental_pipeline.nnunet_setup | Set env: nnUNet_results=/usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_results
2026-07-03 03:30:14,508 | INFO     | __main__ | nnU-Net environment variables set.
2026-07-03 03:30:14,508 | INFO     | __main__ | Command: nnUNetv2_plan_and_preprocess -d 100 --verify_dataset_integrity -np 8
2026-07-03 03:30:16,411 | INFO     | __main__ | [nnUNet] Fingerprint extraction...
2026-07-03 03:30:16,412 | INFO     | __main__ | [nnUNet] Dataset100_ToothFairy3
2026-07-03 03:30:21,480 | INFO     | __main__ | [nnUNet] Using <class 'nnunetv2.imageio.simpleitk_reader_writer.SimpleITKIO'> as reader/writer
2026-07-03 03:31:48,534 | INFO     | __main__ | [nnUNet] 
2026-07-03 03:31:48,534 | INFO     | __main__ | [nnUNet] ####################
2026-07-03 03:31:48,534 | INFO     | __main__ | [nnUNet] verify_dataset_integrity Done.
2026-07-03 03:31:48,535 | INFO     | __main__ | [nnUNet] If you didn't see any error messages then your dataset is most likely OK!
2026-07-03 03:31:48,535 | INFO     | __main__ | [nnUNet] ####################
2026-07-03 03:31:48,535 | INFO     | __main__ | [nnUNet] 
2026-07-03 03:32:06,174 | INFO     | __main__ | [nnUNet] Using <class 'nnunetv2.imageio.simpleitk_reader_writer.SimpleITKIO'> as reader/writer
2026-07-03 03:32:06,202 | INFO     | __main__ | [nnUNet] 
2026-07-03 03:32:09,617 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   0%|          | 0/532 [00:00<?, ?it/s]
2026-07-03 03:32:09,718 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   0%|          | 1/532 [00:03<30:13,  3.41s/it]
2026-07-03 03:32:09,818 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   0%|          | 2/532 [00:03<12:56,  1.47s/it]
2026-07-03 03:32:10,221 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   1%|          | 4/532 [00:03<05:05,  1.73it/s]
2026-07-03 03:32:10,723 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   1%|          | 6/532 [00:04<03:30,  2.50it/s]
2026-07-03 03:32:11,125 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   1%|▏         | 7/532 [00:04<03:43,  2.35it/s]
2026-07-03 03:32:11,226 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   2%|▏         | 8/532 [00:04<03:39,  2.38it/s]
2026-07-03 03:32:11,427 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   2%|▏         | 9/532 [00:05<02:53,  3.01it/s]
2026-07-03 03:32:11,829 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   2%|▏         | 11/532 [00:05<01:59,  4.34it/s]
2026-07-03 03:32:12,231 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   2%|▏         | 12/532 [00:05<02:21,  3.69it/s]
2026-07-03 03:32:12,533 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   2%|▏         | 13/532 [00:06<02:38,  3.28it/s]
2026-07-03 03:32:12,633 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   3%|▎         | 14/532 [00:06<02:37,  3.29it/s]
2026-07-03 03:32:13,136 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   3%|▎         | 15/532 [00:06<02:08,  4.04it/s]
2026-07-03 03:32:13,236 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   3%|▎         | 16/532 [00:06<02:44,  3.13it/s]
2026-07-03 03:32:13,337 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   3%|▎         | 17/532 [00:07<02:12,  3.90it/s]
2026-07-03 03:32:13,738 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   3%|▎         | 18/532 [00:07<01:48,  4.73it/s]
2026-07-03 03:32:14,040 | INFO     | __main__ | [nnUNet] Extracting dataset fingerprint:   4%|▎         | 19/532 [00:07<02:17,  3.74it/s]
