2026-07-03 05:51:44 | INFO     | dental_pipeline.config | Logging initialised — file: /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/logs/05_evaluate.log
2026-07-03 05:51:44 | INFO     | __main__ | ======================================================================
2026-07-03 05:51:44 | INFO     | __main__ | PHASE 5 — Evaluation (fold 0)
2026-07-03 05:51:44 | INFO     | __main__ | ======================================================================
2026-07-03 05:51:44 | INFO     | dental_pipeline.config | nnU-Net environment variables set.
2026-07-03 05:51:44 | INFO     | __main__ | Running inference: nnUNetv2_predict -i /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_raw/Dataset100_ToothFairy3/imagesTr -o /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/predictions/fold_0/raw -d 100 -c 3d_fullres -tr nnUNetTrainer -p nnUNetPlans -f 0
2026-07-03 05:51:48 | ERROR    | __main__ | Inference failed with exit code 1
2026-07-03 06:00:22 | INFO     | dental_pipeline.config | Logging initialised — file: /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/logs/05_evaluate.log
2026-07-03 06:00:22 | INFO     | __main__ | ======================================================================
2026-07-03 06:00:22 | INFO     | __main__ | PHASE 5 — Evaluation (fold 0)
2026-07-03 06:00:22 | INFO     | __main__ | ======================================================================
2026-07-03 06:00:22 | INFO     | dental_pipeline.config | nnU-Net environment variables set.
2026-07-03 06:00:22 | INFO     | __main__ | Running inference: nnUNetv2_predict -i /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_raw/Dataset100_ToothFairy3/imagesTr -o /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/predictions/fold_0/raw -d 100 -c 3d_fullres -tr nnUNetTrainer -p nnUNetPlans -f 0
2026-07-03 06:00:26 | ERROR    | __main__ | Inference failed with exit code 1
2026-07-03 06:01:51 | INFO     | dental_pipeline.config | Logging initialised — file: /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/logs/05_evaluate.log
2026-07-03 06:01:51 | INFO     | __main__ | ======================================================================
2026-07-03 06:01:51 | INFO     | __main__ | PHASE 5 — Evaluation (fold 0)
2026-07-03 06:01:51 | INFO     | __main__ | ======================================================================
2026-07-03 06:01:51 | INFO     | dental_pipeline.config | nnU-Net environment variables set.
2026-07-03 06:01:51 | INFO     | __main__ | Running inference: nnUNetv2_predict -i /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_raw/Dataset100_ToothFairy3/imagesTr -o /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/predictions/fold_0/raw -d 100 -c 3d_fullres -tr nnUNetTrainer -p nnUNetPlans -f 0
2026-07-03 06:31:11 | INFO     | dental_pipeline.config | Logging initialised — file: /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/logs/05_evaluate.log
2026-07-03 06:31:11 | INFO     | __main__ | ======================================================================
2026-07-03 06:31:11 | INFO     | __main__ | PHASE 5 — Evaluation (fold 0)
2026-07-03 06:31:11 | INFO     | __main__ | ======================================================================
2026-07-03 06:31:11 | INFO     | dental_pipeline.config | nnU-Net environment variables set.
2026-07-03 06:31:11 | INFO     | __main__ | Running inference: nnUNetv2_predict -i /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/nnunet_raw/Dataset100_ToothFairy3/imagesTr -o /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/predictions/fold_0/raw -d 100 -c 3d_fullres -tr nnUNetTrainer -p nnUNetPlans -f 0
2026-07-03 17:39:24 | INFO     | __main__ | Reverse-mapping predictions to original label IDs...
2026-07-03 17:39:24 | INFO     | dental_pipeline.label_remapping | LabelRemapper loaded from /usershome/cs671_user15/Dobbe AI/dental-segmentation/outputs/label_mapping.json (78 classes)
