label_id,label_name,dice_mean,dice_std,hd95_mean,hd95_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,n_cases
1,Lower Jawbone,0.9885,0.0042,0.3085,0.0795,0.9882,0.0052,0.9888,0.0062,532
2,Upper Jawbone,0.5559,0.3803,21.6946,20.2064,0.8693,0.2024,0.5221,0.3714,307
3,Left Inferior Alveolar Canal,0.6169,0.1811,61.0700,22.2238,0.6826,0.2428,0.6172,0.1724,532
4,Right Inferior Alveolar Canal,0.5497,0.2020,50.3228,27.4879,0.5257,0.2553,0.6746,0.1821,532
5,Left Maxillary Sinus,0.3396,0.3147,38.8772,10.9255,0.7175,0.3017,0.2995,0.2870,80
6,Right Maxillary Sinus,0.1121,0.1690,29.9697,14.3880,0.1267,0.1946,0.3835,0.3649,64
7,Pharynx,0.9727,0.0229,0.8914,2.4760,0.9814,0.0235,0.9647,0.0305,532
8,Bridge,0.6081,0.3916,5.5269,10.7972,0.8281,0.1896,0.6241,0.3953,136
9,Crown,0.5719,0.4013,9.0940,13.6020,0.8040,0.2287,0.6086,0.4142,270
10,Implant,0.0032,0.0251,27.6688,15.8435,0.0022,0.0177,0.3121,0.4575,79
11,Upper Right Central Incisor,0.5633,0.4477,1.7974,2.7632,0.8233,0.2694,0.5880,0.4589,326
12,Upper Right Lateral Incisor,0.4970,0.4480,6.3503,9.0793,0.8290,0.2559,0.5105,0.4578,325
13,Upper Right Canine,0.5210,0.4366,10.4023,13.8672,0.8729,0.2032,0.5233,0.4430,401
14,Upper Right First Premolar,0.6089,0.4255,8.8108,14.4449,0.8516,0.2438,0.6267,0.4317,398
15,Upper Right Second Premolar,0.6256,0.4095,9.7579,16.2281,0.8108,0.2770,0.6766,0.4112,384
16,Upper Right First Molar,0.5678,0.3959,19.1504,19.4086,0.6920,0.3463,0.6639,0.3873,391
17,Upper Right Second Molar,0.5801,0.4005,17.8551,21.0318,0.6883,0.3673,0.6999,0.3773,358
18,Upper Right Third Molar,0.4970,0.4057,25.9154,21.4220,0.7237,0.3282,0.5514,0.4156,207
21,Upper Left Central Incisor,0.5616,0.4455,1.7111,2.8351,0.8165,0.2780,0.5871,0.4542,334
22,Upper Left Lateral Incisor,0.4941,0.4469,4.5391,7.6958,0.7836,0.2877,0.5263,0.4659,337
23,Upper Left Canine,0.4912,0.4441,8.0660,11.9536,0.7501,0.3254,0.5533,0.4585,404
24,Upper Left First Premolar,0.5960,0.4310,8.4697,13.6455,0.7958,0.3036,0.6445,0.4322,410
25,Upper Left Second Premolar,0.5844,0.4273,11.5534,16.7455,0.7976,0.2999,0.6293,0.4293,413
