case_id,label_id,label_name,dice,hd95,sensitivity,precision
ToothFairy3F_012,1,Lower Jawbone,0.9766,0.3000,0.9623,0.9913
ToothFairy3F_012,2,Upper Jawbone,0.9161,0.7348,0.8707,0.9664
ToothFairy3F_012,3,Left Inferior Alveolar Canal,0.6839,70.1261,0.8419,0.5758
ToothFairy3F_012,4,Right Inferior Alveolar Canal,0.3979,12.4176,0.2634,0.8126
ToothFairy3F_012,5,Left Maxillary Sinus,0.7657,39.8955,0.9264,0.6525
ToothFairy3F_012,6,Right Maxillary Sinus,0.0000,50.3836,0.0000,0.0000
ToothFairy3F_012,7,Pharynx,0.9634,0.6000,0.9451,0.9824
ToothFairy3F_012,8,Bridge,0.0000,,,0.0000
ToothFairy3F_012,9,Crown,0.0000,,,0.0000
ToothFairy3F_012,33,Lower Left Canine,0.0000,,,0.0000
ToothFairy3F_012,34,Lower Left First Premolar,0.0000,,,0.0000
ToothFairy3F_012,35,Lower Left Second Premolar,0.0000,,,0.0000
ToothFairy3F_012,43,Lower Right Canine,0.0000,,,0.0000
ToothFairy3F_012,44,Lower Right First Premolar,0.0000,,0.0000,
ToothFairy3F_012,45,Lower Right Second Premolar,0.0000,,0.0000,
ToothFairy3F_012,103,Left Mandibular Incisive Canal,0.4631,28.3794,0.5995,0.3772
ToothFairy3F_012,104,Right Mandibular Incisive Canal,0.0373,13.0922,0.0214,0.1429
ToothFairy3F_012,105,Lingual Canal,0.6584,0.9268,0.5856,0.7518
ToothFairy3F_012,143,Lower Right Canine Pulp,0.0000,,,0.0000
ToothFairy3F_012,144,Lower Right First Premolar Pulp,0.0000,,0.0000,
ToothFairy3F_013,1,Lower Jawbone,0.9843,0.3000,0.9861,0.9824
ToothFairy3F_013,2,Upper Jawbone,0.8795,5.0735,0.9574,0.8134
ToothFairy3F_013,3,Left Inferior Alveolar Canal,0.5967,76.0336,0.6956,0.5224
ToothFairy3F_013,4,Right Inferior Alveolar Canal,0.1778,78.7952,0.1138,0.4066
ToothFairy3F_013,7,Pharynx,0.9540,1.0817,0.9775,0.9317
ToothFairy3F_013,8,Bridge,0.9085,0.6708,0.8673,0.9539
ToothFairy3F_013,9,Crown,0.9417,0.6000,0.9602,0.9239
ToothFairy3F_013,11,Upper Right Central Incisor,0.9390,7.1580,0.9820,0.8996
ToothFairy3F_013,12,Upper Right Lateral Incisor,0.8802,19.7873,0.9799,0.7989
ToothFairy3F_013,13,Upper Right Canine,0.0000,,,0.0000
ToothFairy3F_013,14,Upper Right First Premolar,0.6193,31.5014,0.4657,0.9243
ToothFairy3F_013,15,Upper Right Second Premolar,0.9749,0.3000,0.9656,0.9844
ToothFairy3F_013,16,Upper Right First Molar,0.5889,1.3748,0.4200,0.9854
ToothFairy3F_013,17,Upper Right Second Molar,0.9511,0.6708,0.9232,0.9807
ToothFairy3F_013,18,Upper Right Third Molar,0.0000,,,0.0000
ToothFairy3F_013,21,Upper Left Central Incisor,0.9346,0.8485,0.8922,0.9812
ToothFairy3F_013,22,Upper Left Lateral Incisor,0.8617,1.2885,0.7775,0.9663
ToothFairy3F_013,23,Upper Left Canine,0.0000,,,0.0000
ToothFairy3F_013,24,Upper Left First Premolar,0.7423,33.3357,0.9369,0.6146
ToothFairy3F_013,25,Upper Left Second Premolar,0.0000,,,0.0000
ToothFairy3F_013,26,Upper Left First Molar,0.0000,,,0.0000
ToothFairy3F_013,27,Upper Left Second Molar,0.0000,,,0.0000
ToothFairy3F_013,28,Upper Left Third Molar,0.0000,,,0.0000
ToothFairy3F_013,31,Lower Left Central Incisor,0.9769,0.3000,0.9856,0.9684
ToothFairy3F_013,32,Lower Left Lateral Incisor,0.9771,0.3000,0.9835,0.9708
ToothFairy3F_013,33,Lower Left Canine,0.9801,0.3000,0.9778,0.9824
ToothFairy3F_013,34,Lower Left First Premolar,0.9793,0.3000,0.9894,0.9694
ToothFairy3F_013,35,Lower Left Second Premolar,0.9813,0.3000,0.9708,0.9920
ToothFairy3F_013,36,Lower Left First Molar,0.9668,0.3000,0.9606,0.9732
ToothFairy3F_013,37,Lower Left Second Molar,0.9661,0.3000,0.9427,0.9906
ToothFairy3F_013,38,Lower Left Third Molar,0.8601,1.5297,0.7681,0.9771
ToothFairy3F_013,41,Lower Right Central Incisor,0.9761,0.3000,0.9871,0.9654
ToothFairy3F_013,42,Lower Right Lateral Incisor,0.9789,0.3000,0.9838,0.9740
